# Nachtrag zu orte.tsv - deutsche Gemeinden aus DE.txt (ADM4),
# die in cities1000 fehlen.  Erzeugt mit 'geocode.py --gemeinden'.
# name	lat	lon	cc	land	pop	region
Jübar	52.70000	10.91670	DE	Deutschland	1508	
Kabelsketal	51.43250	12.08822	DE	Deutschland	8859	
Kalbach	50.40262	9.68084	DE	Deutschland	6477	
Kalbe (Milde)	52.65000	11.40000	DE	Deutschland	6976	
Kalletal	52.10714	8.94854	DE	Deutschland	13256	
Kamern	52.75000	12.11670	DE	Deutschland	1162	
Karlsbad	48.90617	8.50412	DE	Deutschland	16049	
Keltern	48.89896	8.57662	DE	Deutschland	8693	
Kemberg	51.80014	12.59708	DE	Deutschland	9217	
Kerken	51.44729	6.38895	DE	Deutschland	13186	
Kinding	49.00000	11.38330	DE	Deutschland	2549	
Kipfenberg	48.95330	11.39730	DE	Deutschland	5767	
Klingenberg	50.90920	13.58374	DE	Deutschland	6588	
Kloster Lehnin	52.32065	12.74586	DE	Deutschland	11261	
Knüllwald	50.98996	9.51590	DE	Deutschland	4443	
Konnersreuth	50.01670	12.23330	DE	Deutschland	1742	
Kranenburg	51.78330	6.01667	DE	Deutschland	11303	
Kreßberg	49.13333	10.18333	DE	Deutschland	4008	
Krummhörn	53.43970	7.09117	DE	Deutschland	11384	
Kröning	48.53184	12.36855	DE	Deutschland	2052	
Kuhfelde	52.78330	11.11670	DE	Deutschland	1023	
Kyffhäuserland	51.35538	11.00538	DE	Deutschland	3810	
Kyritz	52.98080	12.32740	DE	Deutschland	9147	
Käbschütztal	51.14840	13.39010	DE	Deutschland	2783	
Königsberg i.Bay.	50.08162	10.56975	DE	Deutschland	3543	
Königsmoos	48.64290	11.18817	DE	Deutschland	4938	
Kösching	48.81670	11.50000	DE	Deutschland	9788	
Küstriner Vorland	52.56240	14.57280	DE	Deutschland	2487	
Laaber	49.06670	11.88330	DE	Deutschland	5290	
Laar	52.61670	6.73333	DE	Deutschland	2050	
Landsberg	51.52750	12.10140	DE	Deutschland	14772	
Langdorf	49.01670	13.15000	DE	Deutschland	1836	
Lauta	51.44189	14.08078	DE	Deutschland	7726	
Lauterstein	48.70994	9.87190	DE	Deutschland	2558	
Leiferde	52.43330	10.43330	DE	Deutschland	4231	
Lemgow	52.91407	11.31305	DE	Deutschland	1293	
Lewitzrand	53.47908	11.68100	DE	Deutschland	1381	
Lichtenfels	51.16982	8.78527	DE	Deutschland	4051	
Liebschützberg	51.33330	13.15880	DE	Deutschland	2844	
Limbach	49.46190	9.21111	DE	Deutschland	4513	
Lindendorf	52.48990	14.42850	DE	Deutschland	1362	
Lindern (Oldenburg)	52.85000	7.78333	DE	Deutschland	4968	
Lippetal	51.66663	8.08733	DE	Deutschland	11883	
